ID;Spalte1;Haupteintrag;Nr;Funktion;Inhalt;Zusatz;Typ2
i01472;Tournus, Benediktinerabtei Saint-Philibert;Benediktinerabtei Saint-Philibert in Tournus arr. Macon, Saône-et-Loire, exemt, Diözese Chalon-sur-Saône;1037;Empfänger;Benediktinerabtei Saint-Philibert in Tournus (arr. Macon, Saône-et-Loire, exemt, Diözese Chalon-sur-Saône);Saint-Philibert in Tournus (arr. Macon, Saône-et-Loire, exemt, Diözese Chalon-sur-Saône);t:orgName
i01932;Tours, Kapitel Saint-Martin;Dekan, Thesaurar und Kapitel von Saint-Martin de Tours;1109a;Empfänger;Dekan, Thesaurar und Kapitel von Saint-Martin de Tours;Saint-Martin de Tours;t:persName
i04252;Treviso, Domkapitel San Pietro;Kathedrale San Pietro in Treviso;1093;Empfänger;Kathedrale San Pietro in Treviso;San Pietro in Treviso;t:orgName
i06583;Verona, Stiftskirche Santo Stefano;Stiftskirche Santo Stefano in Verona;1104;Empfänger;Stiftskirche Santo Stefano in Verona;Santo Stefano in Verona;t:orgName
i05855;Waltham, Regularkanonikerabtei Holy Cross;Regularkanonikerabtei Holy Cross in Waltham Essex;1095;Empfänger;Regularkanonikerabtei Holy Cross in Waltham (Essex);Holy Cross in Waltham (Essex);t:orgName
i00003;;, außerhalb der Stadt Mouzon arr. Sedan, Ardennes;1042;;, außerhalb der Stadt Mouzon (arr. Sedan, Ardennes);Mouzon (arr. Sedan, Ardennes);t:orgName
i00007;;, Écoivres c. Saint-Pol-sur-Ternoise, arr. Arras, ibid.;1071;;, Écoivres (c. Saint-Pol-sur-Ternoise, arr. Arras, ibid.);Écoivres (c. Saint-Pol-sur-Ternoise, arr. Arras, ibid.);t:orgName
i00109;;, La Valroy-le-Petit, c. Château-Porcien, arr. Rethel, Ardennes;1051;;, La Valroy(-le-Petit, c. Château-Porcien, arr. Rethel, Ardennes);La Valroy(-le-Petit, c. Château-Porcien, arr. Rethel, Ardennes);t:orgName
;;;1047;Empfänger;Äbte, Archidiakone, Pröpste und Priester in ihren Diözesen;;t:persName
;;;1051;Empfänger;Äbte, Archidiakone, Pröpste und Priester in ihren Diözesen;;t:persName
;;;1052;Empfänger;Äbte, Archidiakone, Pröpste und Priester in ihren Diözesen;;t:persName
;;;1057;Empfänger;Äbte, Archidiakone, Pröpste und Priester in ihren Diözesen;;t:persName
;;;1119;Empfänger;Äbte, Archidiakone, Pröpste und Priester in ihren Diözesen;;t:persName
i00148;;, Saint-Basle c. Verzy, arr. Reims;1042;;, Saint-Basle (c. Verzy, arr. Reims);Saint-Basle (c. Verzy, arr. Reims);t:orgName
i00149;;, Saint-Denis;1042;;, Saint-Denis;Saint-Denis;t:orgName
i00150;;, Saint-Nicaise;1042;;, Saint-Nicaise;Saint-Nicaise;t:orgName
i00151;;, Saint-Pierre in Hautvillers c. Ay, arr. Reims;1042;;, Saint-Pierre in Hautvillers (c. Ay, arr. Reims);Saint-Pierre in Hautvillers (c. Ay, arr. Reims);t:orgName
i00152;;, Saint-Pierre-les-Dames in Reims;1042;;, Saint-Pierre-les-Dames in Reims;Saint-Pierre-les-Dames in Reims;t:orgName
;;;603;;Abtei Clairvaux (cne Ville-sous-la-Ferté, c. et arr. Bar-sur-Aube, Aube);Clairvaux (cne Ville-sous-la-Ferté, c. et arr. Bar-sur-Aube, Aube);t:orgName
i00154;;, Saint-Thierry c. Bourgogne, arr. Reims, Marne;1042;;, Saint-Thierry (c. Bourgogne, arr. Reims, Marne);Saint-Thierry (c. Bourgogne, arr. Reims, Marne);t:orgName
;;;976;;Abtei Cluny (arr. Mâcon, Saône-et-Loire);Cluny (arr. Mâcon, Saône-et-Loire);t:orgName
i00158;;, Sint-Niclaas;1015;;, Sint-Niclaas;Sint-Niclaas;t:orgName
;;;253;;Abtei Corbie;Corbie;t:orgName
;;;390;;Abtei Corbie;Corbie;t:orgName
i00162;;[und Sint-Pieters] in Gent;1015;;[und Sint-Pieters] in Gent;Sint-Pieters] in Gent;t:orgName
;;;918;;Abtei Corbie (arr. Amiens, Somme);Corbie (arr. Amiens, Somme);t:orgName
i00177;;abbatia Saint-Timothée;189;;abbatia Saint-Timothée;Saint-Timothée;t:orgName
;;;489;;Abtei Corbie (Somme);Corbie (Somme);t:orgName
i00212;;Abtei Bohéries Vadencourt-Bohéries, c. Guise, arr. Vervins, Aisne;1074;;Abtei Bohéries (Vadencourt-Bohéries, c. Guise, arr. Vervins, Aisne);Bohéries (Vadencourt-Bohéries, c. Guise, arr. Vervins, Aisne);t:orgName
i00213;;Abtei Clairvaux cne Ville-sous-la-Ferté, c. et arr. Bar-sur-Aube, Aube;602;;Abtei Clairvaux (cne Ville-sous-la-Ferté, c. et arr. Bar-sur-Aube, Aube);Clairvaux (cne Ville-sous-la-Ferté, c. et arr. Bar-sur-Aube, Aube);t:orgName
i00215;;Abtei Cluny arr. Mâcon, Saône-et-Loire;431;;Abtei Cluny (arr. Mâcon, Saône-et-Loire);Cluny (arr. Mâcon, Saône-et-Loire);t:orgName
i00220;;Abtei Corbie arr. Amiens, Somme;815;;Abtei Corbie (arr. Amiens, Somme);Corbie (arr. Amiens, Somme);t:orgName
i00222;;Abtei Corbie Somme;391;;Abtei Corbie (Somme);Corbie (Somme);t:orgName
i00224;;Abteien, Saint-Arnoul in Metz;278;;Abteien, (Saint-Arnoul) in Metz;Metz;t:orgName
i00225;;Abteien Ham-sur-Somme, arr. Péronne, Somme;673;;Abteien Ham(-sur-Somme, arr. Péronne, Somme);Ham(-sur-Somme, arr. Péronne, Somme);t:orgName
i00226;;Abteien von Épernay Marne;1042;;Abteien von Épernay (Marne);Épernay (Marne);t:orgName
i00227;;Abtei Jouy;1005;;Abtei Jouy;Jouy;t:orgName
i00228;;Abteikirche Saint-Remi;222;;Abteikirche Saint-Remi;Saint-Remi;t:orgName
i00229;;Abteikirche von Reims;224;;Abteikirche von Reims;Reims;t:orgName
;;;1114a;;Abtei Mont-Saint-Éloi;Mont-Saint-Éloi;t:orgName
;;;1115a;;Abtei Mont-Saint-Éloi;Mont-Saint-Éloi;t:orgName
i00230;;Abtei Le Mont-Saint-Quentin cne Péronne, Somme;365;;Abtei Le Mont-Saint-Quentin (cne Péronne, Somme);Le Mont-Saint-Quentin (cne Péronne, Somme);t:orgName
i00231;;Abtei Liessies c. Solre-le-Château, arr. Avesnes-sur-Helpe, Nord;967;;Abtei Liessies (c. Solre-le-Château, arr. Avesnes-sur-Helpe, Nord);Liessies (c. Solre-le-Château, arr. Avesnes-sur-Helpe, Nord);t:orgName
i00232;;Abtei Maubeuge ibid.;967;;Abtei Maubeuge (ibid.);Maubeuge (ibid.);t:orgName
