ID;Spalte1;Haupteintrag;Nr;Funktion;Inhalt;Zusatz;Typ2
;;;331;Ort;Reims;Reims;t:placeName
;;;372;Ausstellungort;Reims;Reims;t:placeName
;;;378;Ausstellungort;(Reims;(Reims;t:placeName
;;;393;Ausstellungort;Reims;Reims;t:placeName
;;;394;Ort;Reims;Reims;t:placeName
;;;397;Ausstellungort;(Reims;(Reims;t:placeName
;;;397;Ort;Reims;Reims;t:placeName
;;;398;Ort;Reims;Reims;t:placeName
;;;399;Ort;Reims;Reims;t:placeName
;;;400;Ort;Reims;Reims;t:placeName
;;;401;Ausstellungort;Reims;Reims;t:placeName
;;;401;Ort;Reims;Reims;t:placeName
;;;402;Ausstellungort;Reims;Reims;t:placeName
;;;403;Ausstellungort;Reims;Reims;t:placeName
;;;404;Ausstellungort;Reims;Reims;t:placeName
;;;405;Ausstellungort;Reims;Reims;t:placeName
;;;405;Ort;Reims;Reims;t:placeName
;;;406;Ausstellungort;Reims;Reims;t:placeName
;;;407;Ausstellungort;Reims;Reims;t:placeName
;;;408;Ausstellungort;Reims;Reims;t:placeName
;;;417;Ausstellungort;Reims;Reims;t:placeName
;;;418;Ausstellungort;(Reims;(Reims;t:placeName
;;;419;Ort;Reims;Reims;t:placeName
;;;421;Ort;Reims;Reims;t:placeName
;;;422;Ausstellungort;Reims;Reims;t:placeName
;;;426;Ort;Reims;Reims;t:placeName
;;;428;Ausstellungort;Reims;Reims;t:placeName
;;;428;Ort;Reims;Reims;t:placeName
;;;427;Ausstellungort;Reims;Reims;t:placeName
;;;445;Empfänger;Reims;Reims;t:persName
;;;447;Ort;Reims;Reims;t:placeName
;;;448;Ort;Reims;Reims;t:placeName
;;;448;Ort;Reims;Reims;t:placeName
;;;458;Ausstellungort;Reims;Reims;t:placeName
;;;467;Ausstellungort;Reims;Reims;t:placeName
;;;473;Ausstellungort;Reims;Reims;t:placeName
;;;473;Ort;Reims;Reims;t:placeName
;;;474;Ausstellungort;Reims;Reims;t:placeName
;;;475;Ausstellungort;Reims;Reims;t:placeName
;;;502;Ort;Reims?;Reims?;t:placeName
;;;509;Ort;Reims;Reims;t:placeName
;;;510;Ort;Reims;Reims;t:placeName
;;;511;Ort;Reims;Reims;t:placeName
;;;512;Ort;Reims;Reims;t:placeName
;;;513;Ort;Reims;Reims;t:placeName
;;;626;Ausstellungort;Reims;Reims;t:placeName
;;;753;Ort;Reims;Reims;t:placeName
;;;816;Ort;Reims;Reims;t:placeName
;;;1014;Ort;Reims;Reims;t:placeName
;;;1113a;Ort;Reims;Reims;t:placeName
;;;1114a;Ort;Reims;Reims;t:placeName
o05976;;Reims;23;Ort;Reimser;Reimser;t:placeName
;;;880;Ort;Reimser;Reimser;t:placeName
;;;932;Ort;Reimser;Reimser;t:placeName
p05688;;R., Priester, Überbringer;920;;Priester R., Überbringer;;t:persName
p05689;;R., Priester aus Dudzele, c. Brügge, Prov. Westflandern, Belgien;916;;Priesters R. (aus Dudzele, c. Brügge, Prov. Westflandern, Belgien);Dudzele, c. Brügge, Prov. Westflandern, Belgien);t:persName
p05690;;R., Priester der Kirche von Dudzele nördl. Brügge, Provinz Westflandern, Belgien;902;;R., Priester der Kirche von Dudzele (nördl. Brügge, Provinz Westflandern, Belgien);Dudzele (nördl. Brügge, Provinz Westflandern, Belgien);t:persName
p05691;;R., Priester von Dudzele nördl. Brügge, Provinz Westflandern, Belgien;904;;R., Priester von Dudzele (nördl. Brügge, Provinz Westflandern, Belgien);Dudzele (nördl. Brügge, Provinz Westflandern, Belgien);t:persName
o05983;;Reims oder Senlis;205;Ausstellungort;(Reims?) oder Senlis;(Reims?) oder Senlis;t:placeName
p05692;;R., Sohn;878;;Sohn R.;;t:persName
p05693;;R., Subdiakon;940;;Subdiakons R.;;t:persName
p05694;;R., Überbringer;871;;R., Überbringer;;t:persName
;;;120;;hl. Remigius;;t:persName
;;;217;;hl. Remigius;;t:persName
;;;223a;;hl. Remigius;;t:persName
;;;224;;hl. Remigius;;t:persName
;;;969;;hl. Remigius;;t:persName
;;;1075;;hl. Remigius;;t:persName
;;;304;;hl. Väter Remigius;;t:persName
p05695;;R., Überbringerin;821;;R., Überbringerin;;t:persName
;;;72;;Erzbischof Remigius von Lyon;Lyon;t:persName
p05696;;R. Absia;1110h;;R. Absia;;t:persName
p05697;;R. Belin, Domherr an der Kathedrale von Laon;635;;R. Belin, Domherr an der Kathedrale von Laon;Laon;t:persName
o05991;;Reninge 12 km südwestl. Dijksmuide, ibid.;415;Ort;Reninge (12 km südwestl. Dijksmuide, ibid.);Reninge (12 km südwestl. Dijksmuide, ibid.);t:placeName
o05992;;Reninge 12 km südwestl. Dijksmuide, Westflandern, Belgien;416;Ort;Reninge (12 km südwestl. Dijksmuide, Westflandern, Belgien);Reninge (12 km südwestl. Dijksmuide, Westflandern, Belgien);t:placeName
o05993;;Reninge ca. 12 km südwestl. Dijksmuide, Westflandern, Belgien;411;Ort;Reninge (ca. 12 km südwestl. Dijksmuide, Westflandern, Belgien);Reninge (ca. 12 km südwestl. Dijksmuide, Westflandern, Belgien);t:placeName
o05994;;Rethel;977;Ort;Rethel;Rethel;t:placeName
o05995;;Rethel Ardennes;1042;Ort;Rethel (Ardennes);Rethel (Ardennes);t:placeName
p05698;;R. de Adversa;919;;R. de Adversa;;t:persName
p05699;;R. de Cismai prov. Hainaut, Belgien;922;;R. de Cismai (prov. Hainaut, Belgien?);Cismai (prov. Hainaut, Belgien?);t:persName
p05700;;R. de Rause Rozoy-sur-Serre, arr. Laon, Aisne;748;;R. de Rause (Rozoy-sur-Serre?, arr. Laon, Aisne);Rause (Rozoy-sur-Serre?, arr. Laon, Aisne);t:persName
p05701;;R. de Sabloi, der Grundherr;919;;R. de Sabloi, der Grundherr;;t:persName
p05702;;R. Gozo;836;;R. Gozo;;t:persName
p05703;;Raas von Gavere;1131;;Raas von Gavere;Gavere;t:persName
;;;366;;Richard, Bischof von Albano;Albano;t:persName
p05704;;Radbod, Bischof;350;;Bischofs Radbod;;t:persName
;;;680;;Elekt R(ichard) von Verdun;Verdun;t:persName
p05705;;Radbod II., Bischof von Noyon;283;;Bischof Radbod (II.) von Noyon;Noyon;t:persName
;;;147;;Richard (Graf von Autun;Autun;t:persName
p05706;;Radbod von Noyon;314;;Radbod von Noyon;Noyon;t:persName
p05707;Rudolf, Bischof von Lüttich;Raduld, Bischof von Lüttich;1060;Empfänger;(Raduld), Bischof von Lüttich;Lüttich;t:persName
;;;566;;Ric(hard), Überbringer;;t:persName
p05708;;Radulf;256;;R(adulf);;t:persName
p05713;;Radulf, Abt von Saint-Médard vor Soissons;360;;Abt (Radulf) von Saint-Médard (vor Soissons);Saint-Médard (vor Soissons);t:persName
p05714;;Radulf, Bischof von Amiens;294;;Bischof Radulf von Amiens;Amiens;t:persName
p05715;;Radulf, Bruder;966;;Bruders Rad(ulf);;t:persName
;;;834;;Richer;;t:persName
p05716;;Radulf, Bruder von, Überbringer;965;;sein Bruder Radulf, beide Überbringer;;t:persName
;;;258;;Erzbischof (Richer) von Sens;Sens;t:persName
p05717;;Radulf, Bürger;858;;Bürger Radulf;;t:persName
;;;246;Empfänger;R(icher) von Sens;Sens;t:persName
;;;247;Empfänger;R(icher) von Sens;Sens;t:persName
;;;279;Empfänger;Richer von Sens;Sens;t:persName
p05718;Radulf, Domdekan in Reims;Radulf, Domdekan in Reims;1120;Empfänger;R(adulf), Domdekan in Reims;Reims;t:persName
o06022;;Riencourt-lès-Bapaume c. Bapaume, arr. Arras oder Riencourt-lès-Cagnicourt, c. Vitry-en-Artois, arr. Arras;553;Ort;Riencourt-lès-Bapaume (c. Bapaume, arr. Arras) (oder Riencourt-lès-Cagnicourt, c. Vitry-en-Artois, arr. Arras);Riencourt-lès-Bapaume (c. Bapaume, arr. Arras) (oder Riencourt-lès-Cagnicourt, c. Vitry-en-Artois, arr. Arras);t:placeName
p05721;;Radulf, Eindringling;991;;Eindringling (Radulf);;t:persName
;;;689;;Ritter;;t:persName
;;;777;;Ritter;;t:persName
p05722;;Radulf, Elekt von Châlons-en-Champagne;380;;Radulf als Elekten von Châlons(-en-Champagne);Châlons(-en-Champagne);t:persName
p05723;Radulf, Erzbischof von Reims;Radulf, Erzbischof von Reims;367;Empfänger;Radulf zum Bischof von Reims;Reims;t:persName
p05755;;Radulf, Graf von Clermont;1120a;;Grafen Radulf von Clermont;Clermont;t:persName
;;;203;;Robert;;t:persName
p05756;;Radulf, Graf von Clermont-en-Beauvaisis;1080;;Grafen (Radulf) von Clermont(-en-Beauvaisis);Clermont(-en-Beauvaisis);t:persName
p05757;;Radulf, Graf von Valois;242;;Grafen Radulf (von Valois;Valois;t:persName
p05761;;Radulf, Kanoniker der Kirche von Reims;865;;R(adulf), eines Kanonikers der Kirche von Reims;Reims;t:persName
p05762;;Radulf, Magister;932;;Magister Radulf;;t:persName
p05763;;Radulf, Metropolit;373;;Metropoliten Radulf;;t:persName
p05764;;Radulf, Priester;619;;Priesters Radulf;;t:persName
;;;458;;Bischofs Robert;;t:persName
p05765;;Radulf, zum Erzbischof ordinierter;368;;Erzbischof Ordinierten (Radulf);;t:persName
p05766;;Radulfus, Priester;936;;der Priester Radulfus;;t:persName
p05767;;Radulf von Coucy-le-Château-Auffrique, arr. Laon, Aisne;949;;Radulf von Coucy(-le-Château-Auffrique, arr. Laon, Aisne);Coucy(-le-Château-Auffrique, arr. Laon, Aisne);t:persName
p05768;;Radulf von Sarre, Domdekan;1119c;Empfänger;Domdekan Radulf von Sarre;Sarre;t:persName
p05769;Radulf, Erzbischof von Tours;Radulf von Tours;337;Empfänger;(Radulf) von Tours;Tours;t:persName
p05770;;Raginelm, Bischof von Noyon;93;;Bischof Raginelm von Noyon;Noyon;t:persName
;;;1010;;R(obert), ehemals Elekt von Cambrai;Cambrai;t:persName
p05771;;Raimbald, Subdiakon;273;;Subdiakons Raimbald;;t:persName
;;;1001;;(Robert), den Elekten von Cambrai;Cambrai;t:persName
p05772;Raimond, Kardinaldiakon von Santa Maria in Via lata;Raimond, Kardinaldiakon von Santa Maria in Via lata;981;Empfänger;R(aimond), Kardinaldiakon von Santa Maria in Via lata;Santa Maria in Via lata;t:persName
p05774;;Raimond V., Graf von Toulouse;981;;Raimond V.), Graf von Toulouse;Toulouse;t:persName
p05775;;Raimund, Graf von Toulouse;653;;Graf (Raimund) von Toulouse;Toulouse;t:persName
p05776;Raimund, Kanoniker der Kirche von Reims und Kardinaldiakon von Santa Maria in Via lata;Raimund, Kanoniker der Kirche von Reims;664;Aussteller;R(aimund), Kanoniker (der Kirche von Reims;Reims;t:persName
p05777;;Raimund V., Graf von Saint-Gilles;516;;(Raimund V.), Graf von Saint-Gilles;Saint-Gilles;t:persName
p05778;Reginald, Bischof von Bath;Rainald, Bischof;1048;Empfänger;Bischof Rainald;;t:persName
p05779;;Rainald, den von Petrus, Bischof von Ostia;251;;Rainald, den von Petrus, Bischof von Ostia;Ostia;t:persName
;;;643;;Priesters Robert;;t:persName
;;;954;;Priesters Robert;;t:persName
p05780;Rainald I., Erzbischof von Reims;Rainald, Erzbischof von Reims;315;Aussteller;(Rainald), Elekt von Reims;Reims;t:persName
p05828;Rainald II., Erzbischof von Reims;Rainald Renaud de Martigné, Erzbischof von Reims;419;Empfänger;Rainald (Renaud de Martigné), Erzbischof von Reims;Reims;t:persName
p05829;;Rainaldus Coitella, Jerusalemfahrer;495;;Rain(aldus) Coitella, Jerusalemfahrer;;t:persName
p05830;;Rainald von Dassel;586;;R(ainald von Dassel;Dassel;t:persName
p05831;;Rainard Hugo, Bischof von Langres;290;;Rainard Hugo), Bischof von Langres;Langres;t:persName
p05832;;Rainaud de Rozoy-sur-Serre, arr. Laon, Aisne;683;;Rainaud de Rozoy(-sur-Serre, arr. Laon, Aisne);Rozoy(-sur-Serre, arr. Laon, Aisne);t:persName
p05833;;Rainer, Abt von Saint-Denis;252;;(Rainer), Abt von Saint-Denis;Saint-Denis;t:persName
p05834;;Rainer, Graf;840;;Graf Rainer;;t:persName
p05835;;Rainerius;867;;Rainerius;;t:persName
p05836;;Rainold;952;;Rainold;;t:persName
p05837;;Ramihardus;285;;Ramihardus;;t:persName
p05838;;Ramihrdus;284;;Ramihrdus;;t:persName
p05839;;Rampo, Bruder;116;;Bruder Rampo;;t:persName
p05841;;Rampo, Verwandter Fulcos und Kaiser Lamberts;147;;Rampo (Verwandter Fulcos und Kaiser Lamberts);;t:persName
;;;171;Aussteller;Rodulf von Laon;Laon;t:persName
p05842;;Rampo, Verwandter Fulkos und Kaiser Lamberts;146;;Rampo (Verwandter Fulkos und Kaiser Lamberts);;t:persName
p05843;;Raoul;647;;Raoul;;t:persName
p05844;;Raoul, Graf von Clermont-en-Beauvaisis, Oise;1067;;Graf (Raoul) von Clermont(-en-Beauvaisis, Oise);Clermont(-en-Beauvaisis, Oise);t:persName
;;;1079g;;Bischof R(oger) von Cambrai;Cambrai;t:persName
p05845;;Raoul, Vizegraf von Laon;594;;R(aoul), Vizegraf von Laon;Laon;t:persName
p05846;;Raoul de Coucy-le-Château-Auffrique, arr. Laon, Aisne;555;;Raoul de Coucy(-le-Château-Auffrique, arr. Laon, Aisne);Coucy(-le-Château-Auffrique, arr. Laon, Aisne);t:persName
;;;1132;Empfänger;(Roger), Bischof von Laon;Laon;t:persName
p05851;;Raoul de Cuffies c. et arr. Soissons, Aisne;695;;Raoul de Cuffies (c. et arr. Soissons, Aisne);Cuffies (c. et arr. Soissons, Aisne);t:persName
p05853;;Regularkanoniker;533;;Regularkanoniker;;t:persName
;;;290;;Roger III.), Bischof von Châlons;Châlons;t:persName
p05863;;Regularkanoniker in Ham ar. Péronne, ibid.;673;;Regularkanonikern in Ham (ar. Péronne, ibid.);Ham (ar. Péronne, ibid.);t:persName
p05864;;Regularkanoniker von Épernay;937;;(Regular)kanoniker von Épernay;Épernay;t:persName
p05866;;Regularkanoniker von Le Mont-Saint-Éloi c. et arr. Arras, Pas-de-Calais;1071;;(Regular)kanonikern von Le Mont-Saint-Éloi (c. et arr. Arras, Pas-de-Calais);Le Mont-Saint-Éloi (c. et arr. Arras, Pas-de-Calais);t:persName
p05867;;Regularkanoniker von Saint-Barthélemy in Noyon;1030;;Regularkanoniker von Saint-Barthélemy in Noyon;Saint-Barthélemy in Noyon;t:persName
p05868;;Regularkanoniker von Saint-Jean-des Vignes ibid.;485;;(Regular)kanoniker von Saint-Jean-des Vignes (ibid.);Saint-Jean-des Vignes (ibid.);t:persName
p05869;;Regularkanoniker von Saint-Martin;924;;Regularkanonikern von Saint-Martin;Saint-Martin;t:persName
;;;755;;Überbringers Roland;;t:persName
p05882;;Reims;491;Empfänger;, Reims;Reims;t:persName
o06088;;Rom;11;Ort;Rom;Rom;t:placeName
;;;50;Ort;Rom;Rom;t:placeName
;;;58;Ort;Rom;Rom;t:placeName
;;;62;Ort;Rom;Rom;t:placeName
;;;63;Ort;Rom;Rom;t:placeName
;;;66;Ort;Rom;Rom;t:placeName
;;;67;Ort;Rom;Rom;t:placeName
;;;70;Ort;Rom;Rom;t:placeName
;;;86;Ort;Rom;Rom;t:placeName
;;;89;Ort;Rom;Rom;t:placeName
;;;94e;Ort;Rom;Rom;t:placeName
;;;99b;Ort;Rom;Rom;t:placeName
;;;114;Ort;Rom;Rom;t:placeName
;;;117;Ort;Rom;Rom;t:placeName
;;;140;Ort;Rom;Rom;t:placeName
;;;143;Ort;Rom;Rom;t:placeName
;;;152;Ausstellungort;Rom;Rom;t:placeName
;;;161;Ausstellungort;Rom;Rom;t:placeName
;;;163;Ausstellungort;Rom;Rom;t:placeName
;;;179;Ort;Rom;Rom;t:placeName
;;;182;Ausstellungort;Rom;Rom;t:placeName
;;;186;Ausstellungort;(Rom;(Rom;t:placeName
;;;188;Ausstellungort;(Rom;(Rom;t:placeName
;;;189;Ausstellungort;(Rom;(Rom;t:placeName
;;;191;Ort;Rom;Rom;t:placeName
;;;192;Ausstellungort;Rom;Rom;t:placeName
;;;195;Ausstellungort;(Rom;(Rom;t:placeName
;;;197;Ausstellungort;(Rom;(Rom;t:placeName
;;;198;Ausstellungort;(Rom;(Rom;t:placeName
;;;198;Ort;Rom;Rom;t:placeName
;;;202;Ausstellungort;(Rom;(Rom;t:placeName
;;;208;Ausstellungort;(Rom);(Rom);t:placeName
;;;213;Ort;Rom;Rom;t:placeName
;;;217;Ausstellungort;(Rom;(Rom;t:placeName
;;;226;Ort;Rom;Rom;t:placeName
;;;234;Ort;Rom;Rom;t:placeName
;;;235;Ausstellungort;Rom;Rom;t:placeName
;;;274;Ausstellungort;(Rom;(Rom;t:placeName
;;;275;Ausstellungort;Rom;Rom;t:placeName
;;;276;Ausstellungort;Rom;Rom;t:placeName
;;;278;Ausstellungort;Rom;Rom;t:placeName
;;;279;Ort;Rom;Rom;t:placeName
;;;281;Ausstellungort;Rom;Rom;t:placeName
;;;282;Ausstellungort;Rom;Rom;t:placeName
;;;283;Ausstellungort;Rom;Rom;t:placeName
;;;291;Ort;Rom;Rom;t:placeName
;;;292;Ausstellungort;Rom;Rom;t:placeName
;;;294;Ort;Rom;Rom;t:placeName
;;;296;Ort;Rom;Rom;t:placeName
;;;300;Ausstellungort;(Rom;(Rom;t:placeName
;;;301;Ausstellungort;(Rom;(Rom;t:placeName
;;;304;Ausstellungort;Rom;Rom;t:placeName
;;;304;Ort;Rom;Rom;t:placeName
;;;304;Ort;Rom;Rom;t:placeName
;;;304;Ort;Rom;Rom;t:placeName
;;;306;Ausstellungort;Rom;Rom;t:placeName
;;;306;Ort;Rom;Rom;t:placeName
;;;308;Ausstellungort;Rom;Rom;t:placeName
;;;309;Ausstellungort;Rom;Rom;t:placeName
;;;310;Ausstellungort;(Rom;(Rom;t:placeName
;;;311;Ausstellungort;(Rom;(Rom;t:placeName
;;;312;Ausstellungort;(Rom;(Rom;t:placeName
;;;313;Ausstellungort;(Rom;(Rom;t:placeName
;;;315;Ort;Rom;Rom;t:placeName
;;;316;Ort;Rom;Rom;t:placeName
;;;317;Ort;Rom;Rom;t:placeName
;;;319;Ausstellungort;Rom;Rom;t:placeName
;;;333;Ausstellungort;Rom;Rom;t:placeName
;;;335;Ausstellungort;Rom;Rom;t:placeName
;;;386;Ort;Rom;Rom;t:placeName
;;;387;Ort;Rom;Rom;t:placeName
;;;423;Ort;Rom;Rom;t:placeName
;;;424;Ort;Rom;Rom;t:placeName
;;;454;Ort;Rom;Rom;t:placeName
;;;461;Ort;Rom;Rom;t:placeName
;;;622;Ausstellungort;Rom;Rom;t:placeName
;;;624;Ort;Rom;Rom;t:placeName
;;;625;Ort;Rom;Rom;t:placeName
;;;663;Ort;Rom;Rom;t:placeName
;;;791;Ort;Rom;Rom;t:placeName
;;;1023;Ort;Rom;Rom;t:placeName
;;;1113a;Ort;Rom;Rom;t:placeName
o06170;;Rom, Lateran;1075a;Ausstellungort;Rom, Lateran;Rom, Lateran;t:placeName
;;;1120f;Ausstellungort;Rom, Lateran;Rom, Lateran;t:placeName
;;;1120g;Ausstellungort;Rom, Lateran;Rom, Lateran;t:placeName
;;;1120h;Ausstellungort;Rom, Lateran;Rom, Lateran;t:placeName
;;;1120i;Ausstellungort;Rom, Lateran;Rom, Lateran;t:placeName
;;;1121;Ausstellungort;Rom, Lateran;Rom, Lateran;t:placeName
;;;1121a;Ausstellungort;Rom, Lateran;Rom, Lateran;t:placeName
;;;1122a;Ausstellungort;Rom, Lateran;Rom, Lateran;t:placeName
;;;1122b;Ausstellungort;Rom, Lateran;Rom, Lateran;t:placeName
;;;1123a;Ausstellungort;Rom, Lateran;Rom, Lateran;t:placeName
;;;1127b;Ausstellungort;Rom, Lateran;Rom, Lateran;t:placeName
;;;1127d;Ausstellungort;Rom, Lateran;Rom, Lateran;t:placeName
;;;1127e;Ausstellungort;Rom, Lateran;Rom, Lateran;t:placeName
;;;1127f;Ausstellungort;Rom, Lateran;Rom, Lateran;t:placeName
;;;1128a;Ausstellungort;Rom, Lateran;Rom, Lateran;t:placeName
o06185;;Rom, Sankt Peter;20;Ausstellungort;Rom, Sankt Peter;Rom, Sankt Peter;t:placeName
;;;180;Ausstellungort;Rom, Sankt Peter;Rom, Sankt Peter;t:placeName
;;;207;Ausstellungort;Rom, Sankt Peter;Rom, Sankt Peter;t:placeName
;;;482;Ausstellungort;Rom, bei Sankt Peter;Rom, bei Sankt Peter;t:placeName
;;;1124;Ausstellungort;Rom, Sankt Peter;Rom, Sankt Peter;t:placeName
;;;1124a;Ausstellungort;Rom, Sankt Peter;Rom, Sankt Peter;t:placeName
;;;1126a;Ausstellungort;Rom, Sankt Peter;Rom, Sankt Peter;t:placeName
;;;1126b;Ausstellungort;Rom, Sankt Peter;Rom, Sankt Peter;t:placeName
;;;1127c;Ausstellungort;Rom, Sankt Peter;Rom, Sankt Peter;t:placeName
o06194;;Rom, Santa Maria Nuova;661;Ausstellungort;Rom, Santa Maria Nuova;Rom, Santa Maria Nuova;t:placeName
;;;662;Ausstellungort;Rom, Santa Maria Nuova;Rom, Santa Maria Nuova;t:placeName
;;;663;Ausstellungort;Rom, Santa Maria Nuova;Rom, Santa Maria Nuova;t:placeName
o06197;;Romigny c. Ville-en-Tardenois, arr. Reims, Marne;438;Ort;Romigny (c. Ville-en-Tardenois, arr. Reims, Marne);Romigny (c. Ville-en-Tardenois, arr. Reims, Marne);t:placeName
p05979;;Reimser Bürger;819;;Reimser Bürger;;t:persName
;;;1112;;römischen Kirche;;t:orgName
p05982;;Reimser Kleriker;82;;Reimser Kleriker;;t:persName
p05984;;Reinaldus, Bürger aus Reims;951;;Reinaldus, Bürger aus Reims;Reims;t:persName
p05985;;Reiner;785;;Reiner;;t:persName
p05986;Remigius, Bischof von Reims;Remigius, Bischof von Reims, Heiliger;1;Empfänger;Remigius, Bischof von Reims;Reims;t:persName
p05987;;Remigius, Erzbischof von Lyon;72;;Erzbischöfen Remigius von Lyon;Lyon;t:persName
p05989;;Renaud von Rozoy-sur-Serre, arr. Laon, Aisne;714;;R(enaud) von Rozoy(-sur-Serre, arr. Laon, Aisne);Rozoy(-sur-Serre, arr. Laon, Aisne);t:persName
p05990;;Renier de Chaumont;574;;Renier de Chaumont;Chaumont;t:persName
;;;173a;Empfänger;Rotberts, Erzbischof von Trier;Trier;t:persName
p05996;;Ric., Verwandter;737;;Verwandten Ric.;;t:persName
p05997;Ricardo, Erzpriester;Ricardo, Erzpriester;1091;Empfänger;Erzpriester Ricardo;;t:persName
;;;63;;Bischof Rothad von Soissons;Soissons;t:persName
;;;63a;;Bischof Rothads von Soissons;Soissons;t:persName
;;;66;;Rothad, Bischof von Soissons;Soissons;t:persName
;;;68;;Rothads, Bischof von Soissons;Soissons;t:persName
;;;69;;Rothad, Bischof von Soissons;Soissons;t:persName
;;;70;;Rothad als Bischof von Soissons;Soissons;t:persName
p05998;;Ricc., armer Kleriker;839;;armen Klerikers Ricc.;;t:persName
p05999;;Richard;791;;Ric(hard);;t:persName
p06000;Richard, Archidiakon in Verdun;Richard, Archidiakon in Verdun;366;Empfänger;Richard, Archidiakon in Verdun;Verdun;t:persName
;;;1011;Empfänger;(Rotrud) von Rouen;Rouen;t:persName
;;;1056;Empfänger;(Rotrou), Erzbischof von Rouen;Rouen;t:persName
p06001;;Richard, Bischof von Albano;361;;Richard, (Bischof) von Albano;Albano;t:persName
o06222;;Roucy c. Neufchâtel-sur-Aisne, arr. Laon, Aisne;1042;Ort;Roucy (c. Neufchâtel-sur-Aisne, arr. Laon, Aisne);Roucy (c. Neufchâtel-sur-Aisne, arr. Laon, Aisne);t:placeName
p06003;;Richard, Elekt von Verdun;572;;(Richard), Elekt von Verdun;Verdun;t:persName
;;;2;Ort;Rouen;Rouen;t:placeName
;;;5;Ort;Rouen;Rouen;t:placeName
p06005;;Richard, Graf von Autun;146;;Richard (Graf von Autun;Autun;t:persName
p06007;;Richard, Priester;750;;Priester Richard;;t:persName
p06008;;Richard, Überbringer;564;;Ric(hard), Überbringer;;t:persName
p06010;;Richard de Corberio;556;;Ric(hard) de Corberio;Corberio;t:persName
p06011;Richard, Bischof von Avranches;Richard von Avranches;475;Empfänger;R(ichard) von Avranches;Avranches;t:persName
p06012;Richard, Erzbischof von Bourges;Richard von Bourges;279;Empfänger;Richard von Bourges;Bourges;t:persName
;;;803;;S.;;t:persName
;;;805;;S.;;t:persName
;;;927;;S.;;t:persName
;;;1027;;S.;;t:persName
p06013;;Richer;824;;Richer?;;t:persName
p06015;Richer, Erzbischof von Sens;Richer, Erzbischof von Sens;250;;Erzbischof (Richer) von Sens;Sens;t:persName
p06017;;Richer von Sens;243;Empfänger;(Richer) von Sens;Sens;t:persName
p06021;;Richwin von Toul;394;;(Richwin) von Toul;Toul;t:persName
p06023;;Ritter;360;;Ritter;;t:persName
;;;805;;Magister S.;;t:persName
p06026;;Ro., Priester, Überbringer;745;;Priesters Ro., Überbringer;;t:persName
p06027;;Ro. de Thori, Kanoniker in Beauvais Oise;955;;Ro. de Thori, Kanoniker in Beauvais (Oise);Beauvais (Oise);t:persName
;;;783;;Priester, S.;;t:persName
;;;840;;Priesters S.;;t:persName
p06028;Robert II., König von Frankreich;Robert;198;Empfänger;Robert;;t:persName
p06030;;Robert, Abt von Foigny cne La Bouteille, c. et arr. Vervins, Aisne;526;;Äbten (Robert) von Foigny (cne La Bouteille, c. et arr. Vervins, Aisne);Foigny (cne La Bouteille, c. et arr. Vervins, Aisne);t:persName
;;;545;;Schwiegervater, S. aus Châlons-en-Champagne;Châlons-en-Champagne;t:persName
p06031;;Robert, Abt von Saint-Remi;348;;(Roberts), des Abtes von Saint-Remi;Saint-Remi;t:persName
p06032;;Robert, Archidiakon der Kirche von Châlons-en-Champagne;733;;R(obert), Archidiakon der Kirche von Châlons-en-Champagne;Châlons-en-Champagne;t:persName
p06033;;Robert, Archidiakon in Châlons-en-Champagne;825;;R(obert), Archidiakon in Châlons(-en-Champagne);Châlons(-en-Champagne);t:persName
p06034;;Robert, Archidiakon von Châlons;796;;Archidiakon R(obert) von Châlons;Châlons;t:persName
p06035;;Robert, Bischof;410;;Bischof (Robert);;t:persName
p06037;;Robert, Bischof von Amiens;723;;Bischöfen (Robert) von Amiens;Amiens;t:persName
p06038;Robert, Bischof von Chartres;Robert, Bischof von Chartres;498;Empfänger;Robert, Bischof von Chartres;Chartres;t:persName
p06039;;Robert, Bischof von Le Mans;65;;Robert, Bischof von Le Mans;Le Mans;t:persName
o06257;;Saint-Basle;196;Ausstellungort;Saint-Basle;Saint-Basle;t:placeName
o06258;;Saint-Bênoit-sur-Loire c. Ouzouer-sur-Loire, arr. Orléans, Loiret;573;Ort;Saint-Bênoit-sur-Loire (c. Ouzouer-sur-Loire, arr. Orléans, Loiret);Saint-Bênoit-sur-Loire (c. Ouzouer-sur-Loire, arr. Orléans, Loiret);t:placeName
p06040;;Robert, Brüder;284;;Brüder, Robert;;t:persName
o06260;;Saint-Denis;223;Ort;Saint-Denis;Saint-Denis;t:placeName
p06041;;Robert, ehemals Bischof von Amiens;731;;R(obert), ehemals Bischof von Amiens;Amiens;t:persName
o06262;;Saint-Jean;394;Ort;Saint-Jean;Saint-Jean;t:placeName
p06042;;Robert, ehemals Elekt von Cambrai;1009;;R(obert), ehemals Elekt von Cambrai;Cambrai;t:persName
o06264;;Saint-Lambert;528;Ort;Saint-Lambert;Saint-Lambert;t:placeName
o06265;;Saint-Martin;861;Ort;Saint-Martin;Saint-Martin;t:placeName
p06044;;Robert, Elekt von Cambrai;979;;Elekten (Robert) von Cambrai;Cambrai;t:persName
o06267;;Saint-Médard Soissons;251;Ort;Saint-Médard (Soissons);Saint-Médard (Soissons);t:placeName
o06268;;Saint-Memmie;913;Ort;Saint-Memmie;Saint-Memmie;t:placeName
